Id,Name,description,Rating,Current_Price,Original_Price,Discount,Operating_System,Launch_Year,Warranty_years
260,SONY Bravia X70L 108 cm , Ultra HD (4K,4.4,"41,390","59,900",30%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
261,LG UQ7500 139 cm , Ultra HD (4K,4.4,"48,990","76,900",36%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
262,SAMSUNG 123 cm , Full HD LED Smart Tizen TV,4.1,"79,490","92,500",14%, TizenFull HD 1920 x 1080 Pixels,2016,1
263,CANDY 80 cm , HD Ready LED Smart Android Based TV,4.1,"10,990","19,990",45%, Android BasedHD Ready 1366 x 768 Pixels,2023,2
264,TOSHIBA M550MP 126 cm , QLED Ultra HD (4K,4.4,"54,999",,None, Google TVUltra HD (4K) 3840 × 2160 Pixels,2023,2
265,Blaupunkt Cybersound 98 cm , HD Ready LED Smart Android TV with 40W Speaker,4.4,"15,999","23,999",33%, AndroidHD Ready 1366 x 768 Pixels,2022,1
266,SONY Bravia 2 163.9 cm , Ultra HD (4K,5,"85,999","1,39,900",38%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,1
267,Acer 80.01 cm ," HD Ready LED Smart Google TV 2024 Edition with 1.5GB RAM, Dolby Audio",4.6,"13,499","21,990",38%, Google TVHD Ready 1366 x 768 Pixels,2024,2
268,Infinix Y1 109 cm , Full HD LED Smart Linux TV with YouTube & Pre,4.2,"17,999","24,999",28%, LinuxFull HD 1920 x 1080 Pixels,2022,1
269,Panasonic 164 cm , Ultra HD (4K,4.3,"64,990","94,990",31%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
270,MOTOROLA EnvisionX 80 cm , QLED HD Ready Smart Google TV,4.3,"12,499","20,999",40%, Google TVHD Ready 1366 x 768 Pixels,2024,1
271,TOSHIBA M550LP Series 139 cm , QLED Ultra HD (4K,4.3,"40,999","79,990",48%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
272,MOTOROLA Revou 127 cm , Ultra HD (4K,4.4,"35,999","48,999",26%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
273,LG OLED A3 139 cm , OLED Ultra HD (4K,4.4,"99,990","1,39,990",28%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2023,1
274,SAMSUNG AUE60 125 cm , Ultra HD (4K,4.4,"46,990","68,400",31%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
275,Coocaa Frameless 138 cm , Ultra HD (4K,4.4,"29,999","89,999",66%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
276,SONY BRAVIA 80 cm , HD Ready LED Smart Linux based TV,4.6,"28,990","33,499",13%, Linux basedHD Ready 1366 x 768 Pixels,2020,1
277,MarQ by Flipkart 60 cm , HD Ready LED TV,4.2,"5,999","14,999",60%,,2022,1
278,Sansui 165 cm , QLED Ultra HD (4K,4.2,"56,999","79,990",28%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
279,SAMSUNG 138 cm , QLED Ultra HD (4K,4.6,"1,19,990","2,11,900",43%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
280,LG 164 cm , Ultra HD (4K,4.5,"1,20,999","1,69,103",28%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2018,1
281,Hisense E7K 164 cm , QLED Ultra HD (4K,4.3,"47,999","89,999",46%, VIDAAUltra HD (4K) 3840 × 2160 Pixels,2023,2
282,Compaq HUEQ R58 146 cm , Ultra HD (4K,4.2,"39,999","64,999",38%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
283,TCL 163.83 cm , QLED Ultra HD (4K,4.3,"64,990","1,28,990",49%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,2
284,SAMSUNG BU8570UL 138 cm , Ultra HD (4K,4.8,"53,990","94,900",43%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
285,SONY Bravia 138.8 cm , Ultra HD (4K,4.7,"65,999","1,09,900",39%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2021,1
286,LG 108 cm , Ultra HD (4K,4.5,"37,070","59,990",38%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
287,SONY Bravia X90L 163.9 cm , Ultra HD (4K,4.8,"1,47,900","2,29,900",35%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
288,MOTOROLA EnvisionX Spectra 140 cm , Ultra HD (4K,4.5,"42,999","69,999",38%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,1
289,Dyanora 60 cm ," HD Ready LED Smart Linux based TV with Noise Reduction, Powerful Audio Box Spe...",4,"6,999","12,499",44%, Linux basedHD Ready 1366 x 768 Pixels,2022,NA
290,LG 164 cm , OLED Ultra HD (4K,4.4,"1,49,990","2,24,990",33%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
291,Coocaa Frameless 164 cm , Ultra HD (4K,4.4,"42,999","99,999",57%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
292,LG 139 cm , Ultra HD (4K,4.4,"55,990","79,990",30%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
293,Acer Advanced I Series 164 cm , Ultra HD (4K,4.3,"50,999","78,990",35%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
294,SAMSUNG 123 cm , Full HD LED TV,4.3,"57,490","69,500",17%,,2016,1
295,SKYTRON 80 cm , HD Ready LED Smart Android Based TV,3.5,"8,299","23,999",65%, Android BasedHD Ready 1366 x 768 Pixels,2022,1
296,SAMSUNG 123 cm , Ultra HD (4K,4.3,"97,990","1,46,900",33%, TizenUltra HD (4K) 3840 x 2160 Pixels,2016,1
297,TCL C725 139 cm , QLED Ultra HD (4K,4.1,"40,990","1,16,990",64%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,2
298,CANDY 139 cm , QLED Ultra HD (4K,4.3,"41,990","55,990",25%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
299,Compaq 140 cm , Ultra HD (4K,4.2,"33,999","48,999",30%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2022,1
300,SAMSUNG The Frame 108 cm , QLED Ultra HD (4K,4.2,"55,990","91,900",39%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
301,SONY Bravia X64L 125.7 cm , Ultra HD (4K,4.6,"50,999","74,900",31%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
302,Coocaa 80 cm , HD Ready LED Smart Coolita TV 2024 Edition with Dolby Audio and Eye Care Techno...,None,"8,499","19,990",57%, CoolitaHD Ready 1366 x 768 Pixels,2024,1
303,Mi X Series 108 cm , Ultra HD (4K,4.3,"26,999","42,999",37%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2022,1
304,SONY Bravia X75L 125.7 cm , Ultra HD (4K,4.7,"57,940","85,900",32%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
305,TCL 164 cm , QLED Ultra HD (4K,4.3,"64,900","1,66,900",61%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
306,Thomson OATHPRO Max 108 cm , Ultra HD (4K,4.5,"22,999","39,999",42%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
307,SAMSUNG Crystal 4K iSmart Series 138 cm , Ultra HD (4K,4.3,"44,990","64,900",30%, TizenUltra HD (4K) 3840 x 2160 Pixels,2023,2
308,Sansui 127 cm , Ultra HD (4K,4.2,"31,999","51,990",38%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
309,ONIDA 165 cm , Ultra HD (4K,4.4,"45,999","64,990",29%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
310,LG 139 cm , Full HD LED Smart WebOS TV,4.1,"84,490","1,03,900",18%, WebOSFull HD 1920 x 1080 Pixels,2016,1
311,Dyanora 60 cm , HD Ready LED TV,4.1,"5,999","10,999",45%,,2024,1
312,LG 108 cm , Ultra HD (4K,4.4,"35,999","52,990",32%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2019,1
313,realme 108 cm , Full HD LED Smart Android TV,4.2,"28,799","29,999",4%, AndroidFull HD 1920 x 1080 Pixels,2020,1
314,TCL 80.04 cm , Full HD LED Smart Google TV with Google Assistant,4.1,"14,990","23,990",37%, Google TVFull HD 1920 x 1080 Pixels,2022,2
315,Thomson OATHPRO Series 189 cm , Ultra HD (4K,4.5,"77,999","1,49,999",48%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2020,1
316,TCL S6500 Series 79.97 cm , HD Ready LED Smart Android TV,4.3,"15,490","29,990",48%, AndroidHD Ready 1366 x 768 Pixels,2018,2
317,LG OLED A3 121 cm , OLED Ultra HD (4K,4.4,"79,990","1,09,990",27%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2023,1
318,Panasonic 108 cm , HD Ready LED Smart Google TV 2023 Edition,4.2,"28,990","36,990",21%, Google TVHD Ready 1366 x 768 Pixels,2023,1
319,LG All,,4.4,"44,999","66,990",32%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2019,1
320,Hisense A4G Series 108 cm , Full HD LED Smart Android TV with DTS Virtual X,4.2,"22,999","34,990",34%, AndroidFull HD 1920 x 1080 Pixels,2022,2
321,Coocaa Frameless 108 cm , Ultra HD (4K,4.4,"21,999","59,999",63%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
322,BeethoSOL 80 cm , HD Ready LED Smart Android Based TV,4,"8,049","19,000",57%, Android BasedHD Ready 1366 x 768 Pixels,2023,Please
323,LG Nanocell 139 cm , Ultra HD (4K,4.4,"56,990","94,990",40%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
324,Vu 163 cm , Ultra HD (4K,3.9,"1,15,490","1,55,000",25%, Android BasedUltra HD (4K) 3840 x 2160 Pixels,2016,1
325,SAMSUNG 8 138 mm , Ultra HD (4K,4.5,"51,990","86,900",40%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
326,Hisense A71F 108 cm , Ultra HD (4K,4.3,"27,990","36,990",24%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2020,1
327,Hisense A6H 126 cm , Ultra HD (4K,4.2,"32,990","54,990",40%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
328,iFFALCON by TCL 79.97 cm , HD Ready LED Smart Android TV with Google Assistant,4.2,"11,999","19,990",39%, AndroidHD Ready 1366 x 768 Pixels,2023,1
329,LG 139 cm , OLED Ultra HD (4K,4.4,"89,990","1,39,990",35%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
330,SAMSUNG 123 cm , Ultra HD (4K,4.4,"1,22,490","1,36,500",10%, TizenUltra HD (4K) 3840 x 2160 Pixels,2016,1
331,ZEBRONICS 80 cm , HD Ready LED Smart Android Based TV 2023 Edition,4,"10,999","22,999",52%, Android BasedHD Ready 1366 x 768 Pixels,2023,1
332,Dyanora AU Series 108 cm , Ultra HD (4K,4.1,"19,999","37,999",47%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2024,1
333,Coocaa 138 cm , Ultra HD (4K,4.3,"31,999","73,990",56%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2020,1
334,Blaupunkt Cybersound 126 cm , Ultra HD (4K,4.5,"28,999","47,999",39%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
335,Hisense U7K 164 cm , Ultra HD (4K,4.3,"84,999","1,39,999",39%, VIDAAUltra HD (4K) 3840 x 2160 Pixels,2023,2
336,Infinix X3IN 109 cm ," Full HD LED Smart Android TV 2023 Edition with EPIC Engine, Cinematic So...",4.1,"17,999","26,999",33%, AndroidFull HD 1920 x 1080 Pixels,2023,1
337,LG Nanocell 108 cm , Ultra HD (4K,4.4,"37,999","59,990",36%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
338,TCL 189 cm , QLED Ultra HD (4K,4.1,"1,39,990","2,99,990",53%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,2
339,TOSHIBA M650MP 139 cm , Ultra HD (4K,4.4,"50,999","84,999",40%, VIDAAUltra HD (4K) 3840 X 2160 Pixels,2023,3
340,SONY Bravia X82L 189 cm , Ultra HD (4K,4.8,"1,47,240","2,69,900",45%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
341,Blaupunkt Cybersound 108 cm , Ultra HD (4K,4.5,"24,999","41,999",40%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
342,SAMSUNG Crystal 4K Vivid 108 cm , Ultra HD (4K,4.3,"30,490","44,900",32%, TizenUltra HD (4K) 3840 x 2160 Pixels,2024,2
343,TCL 139 cm , QLED Ultra HD (4K,4.1,"47,990","1,21,990",60%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,2
344,iFFALCON by TCL H82 139 cm , QLED Ultra HD (4K,3.7,"86,490","1,79,990",51%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
345,ONIDA 80 cm , HD Ready LED Smart VIDAA TV,4.3,"13,409","23,490",42%, VIDAAHD Ready 1366 x 768 Pixels,2022,1
346,LG OLED 139 cm , OLED Ultra HD (4K,4.6,"3,24,990",,None, WebOSUltra HD (4K) 3840 x 2160 Pixels,2017,1
347,ZEBRONICS 138 cm , Ultra HD (4K,4,"33,490","72,999",54%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2023,1
348,SONY Bravia 163.9 cm , Ultra HD (4K,3.8,"1,72,529","3,64,900",52%,,2016,1
349,SAMSUNG The Frame 125 cm , QLED Ultra HD (4K,4.2,"69,990","1,24,900",43%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
350,Hyundai 109 cm , Full HD LED Smart Android Based TV,3.6,"17,990","46,490",61%, Android BasedFull HD 1920 x 1080 Pixels,2022,1
351,SAMSUNG AUE70 146 cm , Ultra HD (4K,4.4,"48,818","80,900",39%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
352,KODAK CA Series 139 cm , Ultra HD (4K,4.5,"29,999","47,999",37%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2020,1
353,Sansui 140 cm , Ultra HD (4K,3.6,"60,490","69,200",12%,,2016,1
354,Haier 140 cm , Ultra HD (4K,4.2,"44,999","69,990",35%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
355,LG 165.1 cm , OLED Ultra HD (4K,5,"1,69,990","3,59,990",52%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
356,SONY Bravia A80L 138.8 cm , OLED Ultra HD (4K,4.9,"1,64,990","2,49,900",33%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
357,Sansui 140 cm , Ultra HD (4K,4.3,"35,999","53,290",32%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2020,1
358,Infinix W1 QLED 140 cm , QLED Ultra HD (4K,4.1,"37,999","59,999",36%, WebOSUltra HD (4K) 3840 × 2160 Pixels,2023,1
359,SENS 80 cm , HD Ready LED Smart Linux TV,4.1,"7,499","19,990",62%, LinuxHD Ready 1366 x 768 Pixels,2022,1
360,LG 121 cm , OLED Ultra HD (4K,4.4,"1,19,999",,None, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
361,SONY Bravia X80L 215 cm , Ultra HD (4K,4.6,"2,94,490","5,99,900",50%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
362,LG 139 cm , Ultra HD (4K,4.5,"51,999","89,990",42%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
363,KODAK CA Series 189 cm , Ultra HD (4K,4.5,"89,999","1,49,999",40%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
364,SAMSUNG QN85BAKL 138 cm , QLED Ultra HD (4K,3.7,"93,890","1,99,990",53%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
365,Lloyd 140 cm , QLED Ultra HD (4K,4.4,"44,999","66,990",32%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2023,1
366,SAMSUNG Neo,,4.7,"4,49,990","5,29,900",15%, TizenUltra HD (4K) 3840 x 2160 Pixels,2024,2
367,Sansui 165 cm , Ultra HD (4K,4.2,"51,999","70,290",26%,,2022,1
368,Dyanora 109 cm , Ultra HD (4K,4,"19,499","37,999",48%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,NA
369,Haier 165 cm , Ultra HD (4K,4.1,"57,990","80,990",28%, Google TVUltra HD (4K) 3840 × 2160 Pixels,2023,2
370,LG Nanocell 123 cm , Ultra HD (4K,4.6,"54,990","99,990",45%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2020,1
371,SONY Bravia 163.9 cm , Ultra HD (4K,4.9,"1,79,999","2,24,900",19%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2017,1
372,TOSHIBA 108 cm , QLED Ultra HD (4K,4.3,"27,999","45,999",39%, VIDAAUltra HD (4K) 3840 x 2160 Pixels,2024,2
373,SAMSUNG Series 6 138 cm , Ultra HD (4K,None,"1,06,990","1,49,900",28%, TizenUltra HD (4K) 3840 x 2160 Pixels,2017,1
374,LG 80 cm , HD Ready LED Smart WebOS TV,4.4,"14,490","21,990",34%, WebOSHD Ready 1366 x 768 Pixels,2020,1
375,KODAK CA PRO 108 cm , Ultra HD (4K,4.5,"23,999","39,999",40%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
376,Haier 108 cm , Ultra HD (4K,4.2,"32,990","52,990",37%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
377,Lloyd 109 cm , QLED Ultra HD (4K,4.4,"29,999","50,490",40%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2023,1
378,SONY Bravia 163.9 cm , Ultra HD (4K,4.6,"94,990","1,64,900",42%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2022,1
379,Panwood 80 cm , HD Ready LED Smart Android TV 2023 Edition with Remote,3.6,"7,799","17,490",55%, AndroidHD Ready 1366 x 768 Pixels,2023,NA
380,Acer P Series 80 cm , HD Ready LED Smart Android TV,4.3,"13,999","19,990",29%, AndroidHD Ready 1366 x 768 Pixels,2021,1
381,TCL 108 cm , Ultra HD (4K,4.1,"27,990","54,990",49%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
382,Thomson OATHPRO Max 126 cm , Ultra HD (4K,4.5,"26,999","46,999",42%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
383,MarQ by Flipkart 60 cm , HD Ready LED Smart Coolita TV,4.2,"7,099","19,990",64%, CoolitaHD Ready 1366*768 Pixels,2023,1
384,CANDY 139 cm , Ultra HD (4K,4.5,"32,990","45,990",28%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
385,Coocaa 108 cm , Full HD LED Smart Coolita TV 2024 Edition with Dolby Audio and Eye Care Techno...,None,"14,999","29,990",49%, CoolitaFull HD 1920 × 1080 Pixels,2024,1
386,TCL 164 cm , QLED Ultra HD (4K,4.1,"75,990","1,64,990",53%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
387,SAMSUNG 8 108 cm , Ultra HD (4K,4.1,"38,999","59,900",34%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
388,LG LM63 80 cm , HD Ready LED Smart WebOS TV,4.3,"25,191","28,240",10%, WebOSHD Ready 1366 x 768 Pixels,2019,1
389,SAMSUNG 6 108 cm , QLED Ultra HD (4K,5,"47,990","82,400",41%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
390,SONY Bravia 108 cm , Ultra HD (4K,4.5,"44,090","69,900",36%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
391,Mi X Series 125 cm , Ultra HD (4K,4.3,"34,999","44,999",22%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2022,1
392,SAMSUNG Neo QLED 163 cm , QLED Ultra HD (4K,4.7,"1,89,990","2,79,990",32%, TizenUltra HD (4K) 3840 x 2160 Pixels,2023,1
393,SAMSUNG 8 138 cm , QLED Ultra HD (4K,None,"84,990","1,69,990",50%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
394,IMPEX 109 cm , Full HD LED Smart Coolita TV with Dolby Audio,4,"15,999","35,990",55%, CoolitaFull HD 1920 x 1080p Pixels,2024,1
395,iFFALCON by TCL AI Powered K31 138.78 cm , Ultra HD (4K,4.4,"42,699","70,990",39%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2019,1
396,TCL 126 cm , QLED Ultra HD (4K,4.1,"39,990","1,14,990",65%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,2
397,REDMI 80 cm , HD Ready LED Smart Android TV 2023 Edition,4.2,"12,499","24,999",50%, AndroidHD Ready 1366x768 Pixels,2023,1
398,TCL 164 cm , QLED Ultra HD (4K,4.1,"74,990","1,66,990",55%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,2
399,LG All,,4.4,"17,990","21,990",18%, WebOSHD Ready 1366 x 768 Pixels,2019,1
400,MarQ By Flipkart 80 cm , HD Ready LED TV,4.2,"8,999","19,999",55%,,2021,1
401,SONY Bravia A9F 164 cm , OLED Ultra HD (4K,5,"4,69,999","5,29,900",11%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2018,1
402,Coocaa Frameless 80 cm , HD Ready LED Smart Google TV with HDR 10 Dolby Audio and Eye care tec...,4.2,"10,499","27,990",62%, Google TVHD Ready 1366 x 768 Pixels,2022,1
403,LG 81.28 cm , Full HD LED Smart WebOS TV,4.2,"17,490","20,990",16%," WebOSFull HD 1,366 x 768 Pixels",2022,1
404,TCL 43P635 108 cm , Ultra HD (4K,4.1,"24,990","52,990",52%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
405,LG 139 cm , OLED Ultra HD (4K,4.8,"1,14,990","1,59,990",28%, WebOSUltra HD (4K) 3840 × 2160 Pixels,2022,1
406,Foxsky 165 cm , Ultra HD (4K,3.5,"39,999","1,29,990",69%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2023,1
407,SAMSUNG 163 cm , Ultra HD (4K,None,"74,990","1,37,900",45%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
408,SAMSUNG Q70BAKL 138 cm , QLED Ultra HD (4K,None,"79,990","1,38,990",42%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
409,LG 165.1 cm , Ultra HD (4K,None,"99,900","2,34,990",57%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
410,TOSHIBA C350MP 189 cm , Ultra HD (4K,4.3,"82,999","1,14,990",27%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
411,SAMSUNG 163 cm , Ultra HD (4K,None,"69,990","1,35,900",48%, TizenUltra HD (4K) 4k Pixels,2021,1
412,MOTOROLA EnvisionX 108 cm , QLED Ultra HD (4K,4.3,"26,999","51,999",48%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,1
413,BeethoSOL 80 cm , HD Ready LED Smart Linux TV,4.1,"8,049","21,000",61%, LinuxHD Ready 1366 x 768 Pixels,2023,1
414,SONY Bravia 189.3 cm , Ultra HD (4K,5,"1,44,990","2,69,900",46%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2022,1
415,LG 164 cm , OLED Ultra HD (4K,4.8,"1,79,990","3,19,990",43%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
416,SENS 102 cm , Full HD LED Smart Google TV 2023 Edition,4.2,"34,990",,None, Google TVFull HD 1920 x 1080 Pixels,2023,1
417,SAMSUNG Q Series 138 cm , QLED Ultra HD (4K,5,"2,74,900",,None, TizenUltra HD (4K) 3840 x 2160 Pixels,2018,1
418,SAMSUNG The Serif Series 138 cm , QLED Ultra HD (4K,4.4,"88,990","1,63,900",45%, TizenUltra HD (4K) 3840 x 2160 Pixels,2020,1
419,LG 139.7 cm , Ultra HD (4K,4.9,"52,095","94,990",45%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
420,SAMSUNG Series 7 123 cm , Ultra HD (4K,3.7,"1,55,900",,None, TizenUltra HD (4K) 3840 x 2160 Pixels,2017,1
421,TCL 108 cm , QLED Ultra HD (4K,4.1,"34,990","61,990",43%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,2
422,Hyundai 80 cm , HD Ready LED Smart Android Based TV,4.4,"11,490","22,990",50%, Android BasedHD Ready 1366 x 768 Pixels,2022,NA
423,Panwood 109 cm , Full HD LED Smart TV,3.6,"13,499","25,000",46%,,2023,NA
424,TOSHIBA Z670MP 215 cm , QLED Ultra HD (4K,4.7,"1,99,999","4,99,999",60%, VIDAAUltra HD (4K) 3840 x 2160 Pixels,2023,2
425,Hisense Tornado 164 cm , Ultra HD (4K,4.3,"63,248","90,000",29%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
426,SONY Bravia A8G 138.8 cm , OLED Ultra HD (4K,3.9,"1,58,099","2,49,900",36%, Android BasedUltra HD (4K) 3840 x 2160 Pixels,2019,1
427,SONY Bravia 138.8 cm , OLED Ultra HD (4K,4.8,"1,52,990","2,49,900",38%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
428,ONIDA 80.01 cm ," HD Ready LED Smart Android TV 2023 Edition with Dolby Audio, HDR10",4.1,"11,999","19,990",39%, AndroidHD Ready 1366 x 768 Pixels,2023,1
429,SONY Bravia 108 cm , Ultra HD (4K,4.7,"59,990","99,900",39%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
430,AYKON 81 cm , Full HD LED Smart Android Based TV 2023 Edition,4,"9,999","29,999",66%, Android BasedFull HD 1366 x 768 Pixels,2023,NA
431,SONY Bravia 108 cm , Ultra HD (4K,4.6,"44,990","66,900",32%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
432,CANDY 127 cm , Ultra HD (4K,4.5,"29,990","39,990",25%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
433,SAMSUNG 8 163 cm , QLED Ultra HD (4K,None,"1,34,991","2,57,900",47%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
434,SONY Bravia X75K 125.7 cm , Ultra HD (4K,4.3,"54,008","86,318",37%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
435,SONY Bravia X80L 108 cm , Ultra HD (4K,4.6,"66,490","99,900",33%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
436,TOSHIBA V35KP 108 cm , Full HD LED Smart Android TV with DTS Virtual X,4.3,"34,900","34,990",None, AndroidFull HD 1920 x 1080 Pixels,2022,2
437,SAMSUNG 138 cm , QLED Ultra HD (4K,None,"89,990","1,92,990",53%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
438,LG All,,4.4,"32,490","43,657",25%, WebOSFull HD 1920 x 1080 Pixels,2019,1
439,SONY Bravia X70L 125.7 cm , Ultra HD (4K,4.4,"55,090","74,900",26%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
440,Coocaa 81 cm , HD Ready LED Smart Linux TV with YouTube,4.2,"25,163","25,990",3%, LinuxHD Ready 1366 x 768 Pixels,2019,1
441,SAMSUNG Crystal 4K iSmart Series 125 cm , Ultra HD (4K,4.3,"47,990","61,990",22%, TizenUltra HD (4K) 3840 x 2160 Pixels,2023,1
442,LG Ultra HD 108 cm , Ultra HD (4K,4.4,"66,990","79,990",16%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2017,1
443,SAMSUNG The Frame 163 cm , QLED Ultra HD (4K,4.2,"1,30,499","2,22,900",41%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
444,LG 164 cm , Ultra HD (4K,4.4,"1,37,209","3,49,990",60%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2018,1
445,SAMSUNG Q80BAKL 163 cm , QLED Ultra HD (4K,None,"1,39,990","2,45,900",43%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
