Id,Name,description,Rating,Current_Price,Original_Price,Discount,Operating_System,Launch_Year,Warranty_years
131,SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 138 cm , Ultra HD (4K,4.3,"44,990","72,900",38%, TizenUltra HD (4K) 3840 x 2160 Pixels,2023,1
132,Blaupunkt CyberSound G2 Series 126 cm , Ultra HD (4K,4.5,"25,999","41,999",38%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
133,Thomson FA Series 108 cm , Full HD LED Smart Android TV 2023 Edition with Dolby Digital Plus &...,4.3,"16,999","29,999",43%, AndroidFull HD 1080 x 1920 Pixels,2023,1
134,MOTOROLA Envision 140 cm , Ultra HD (4K,4.3,"29,999","54,999",45%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2023,1
135,TCL 126 cm , Ultra HD (4K,4.1,"29,990","64,990",53%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
136,Sansui Neo 80 cm , HD Ready LED Smart Linux TV,4.2,"10,769","19,990",46%, LinuxHD Ready 1366 x 768 Pixels,2022,1
137,Haier 140 cm , Ultra HD (4K,4.1,"38,990","60,990",36%, Google TVUltra HD (4K) 3840 × 2160 Pixels,2023,2
138,TCL 125.64 cm , Ultra HD (4K,4.1,"32,990","64,990",49%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,2
139,Vu GloLED 108 cm , Ultra HD (4K,4.4,"29,999","40,000",25%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
140,BeethoSOL 80 cm , HD Ready LED TV,4.1,"7,399","17,000",56%,,2022,NA
141,TCL C645 139 cm , QLED Ultra HD (4K,4.3,"41,999","1,21,900",65%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
142,TCL 164 cm , QLED Ultra HD (4K,4.2,"54,990","1,66,990",67%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
143,TCL 79.97 cm , Full HD LED Smart Android TV 2023 Edition with Google Assistant |,4.1,"13,490","20,990",35%, AndroidFull HD 1920 x 1080 Pixels,2023,2
144,SONY Bravia X75L 163.9 cm , Ultra HD (4K,4.7,"79,990","1,39,900",42%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
145,Reliance 81.01 cm ," HD Ready LED Smart Android TV with Android 12, 24 W Dolby Audio, Frameless...",3.8,"11,039","21,490",48%, AndroidHD Ready 1366X768 Pixels,2023,1
146,Thomson 164 cm , Ultra HD (4K,4.5,"40,999","69,999",41%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
147,Panasonic 108 cm , Ultra HD (4K,4.3,"29,990","42,990",30%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
148,LG NANO73 164 cm , Ultra HD (4K,4.4,"75,990","1,34,990",43%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
149,Blaupunkt CyberSound G2 Series 80 cm , HD Ready LED Smart Android TV 2023 Edition with Dolby D...,4.4,"10,799","17,999",40%, AndroidHD Ready 1366 x 768 Pixels,2023,1
150,KODAK 126 cm , QLED Ultra HD (4K,4.6,"28,999","49,999",42%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
151,TCL 79.97 cm , Full HD LED Smart Android TV with Metallic Bezel Less and Chromecast built,4.1,"13,600","21,990",38%, AndroidFull HD 1920 x 1080 Pixels,2024,1
152,Mi X Pro 125 cm , Ultra HD (4K,4.3,"41,999","59,999",30%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
153,Acer Advanced I Series 108 cm , Full HD LED Smart Google TV 2023 Edition,4.2,"21,999","32,999",33%, Google TVFull HD 1080 x 1920 Pixels,2023,1
154,ONIDA 139 cm , Ultra HD (4K,4.1,"31,999","45,990",30%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
155,KODAK 164 cm , Ultra HD (4K,4.5,"42,999","69,999",38%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
156,MarQ by Flipkart 80 cm , HD Ready LED Smart Google TV,4.2,"9,999","18,000",44%, Google TVHD Ready 1366 x 768 Pixels,2023,1
157,SAMSUNG 80 cm , HD Ready LED TV,4.3,"14,980","18,990",21%,,2020,2
158,Acer Frameless 80 cm , HD Ready LED Smart Android TV with Dolby Audio,4.4,"10,999","22,990",52%, AndroidHD Ready 1366 x 768 Pixels,2021,1
159,SAMSUNG The Frame 138 cm , QLED Ultra HD (4K,4.2,"84,990","1,44,900",41%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
160,SAMSUNG The Frame 2020 Series 163 cm , QLED Ultra HD (4K,4.5,"1,38,490","2,22,900",37%, TizenUltra HD (4K) 3840 x 2160 Pixels,2020,1
161,TCL 163.83 cm , Ultra HD (4K,4.1,"52,990","1,24,990",57%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,2
162,Mi 5X 108 cm , Ultra HD (4K,4.3,"26,999","49,999",46%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
163,Sansui 102 cm , Full HD LED Smart Android TV with Android 11 & Dolby Audio (Midnight Black,4.1,"18,999","29,290",35%, AndroidFull HD 1920 x 1080 Pixels,2020,1
164,Infinix 80 cm , QLED HD Ready Smart WebOS TV Infinix W1 QLED 80 cm (32 inch,4.1,"11,499","18,999",39%, WebOSHD Ready 1366 x 768 Pixels,2023,1
165,Hisense Tornado 139 cm , Ultra HD (4K,4.3,"35,999","69,990",48%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
166,LG 108 cm , Full HD LED Smart WebOS TV,4.3,"46,990","58,900",20%, WebOSFull HD 1920 x 1080 Pixels,2016,1
167,Hisense U6K 139 cm , QLED Ultra HD (4K,4.1,"41,999","89,999",53%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
168,Thomson Alpha 100 cm , Full HD LED Smart Linux TV 2023 Edition with 30 W Sound Output & Bezel,4.4,"14,499","17,999",19%, LinuxFull HD 1920 x 1080 Pixels,2023,1
169,TOSHIBA M550LP Series 164 cm , QLED Ultra HD (4K,4.3,"56,999","1,14,990",50%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
170,Panasonic 139 cm , Ultra HD (4K,4.3,"42,990","62,990",31%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
171,TOSHIBA C350MP 126 cm , Ultra HD (4K,4.3,"30,990","54,999",43%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
172,Acer H PRO Series 108 cm , Ultra HD (4K,4.4,"26,999","41,999",35%, Google TVUltra HD (4K) 3840 × 2160 Pixels,2023,1
173,SAMSUNG Crystal 4K Vision Pro , 108 cm (43 inch,4.3,"31,990","46,900",31%, TizenUltra HD (4K) 3840 x 2160 Pixels,2024,2
174,SAMSUNG AUE60 138 cm , Ultra HD (4K,4.4,"45,990","69,900",34%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
175,Vu GloLED 164 cm , Ultra HD (4K,4.4,"55,999","85,000",34%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
176,LG UQ8020 164 cm , Ultra HD (4K,4.5,"69,990","1,24,990",44%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
177,Thomson 9R PRO 126 cm , Ultra HD (4K,4.3,"24,999","42,999",41%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
178,Acer 189 cm , Ultra HD (4K,4.4,"89,999","1,49,990",39%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2023,1
